billing_id,customer_key,billing_date,billing_type,consumption_kwh,amount,payment_status
1,1,2023-01-15,Electricity,466,190.94,Bezahlt
2,1,2023-01-15,Gas,1434,182.7,Bezahlt
3,1,2023-02-15,Electricity,387,171.77,Bezahlt
4,1,2023-02-15,Gas,1697,240.53,Bezahlt
5,1,2023-03-15,Electricity,311,129.79,Bezahlt
6,1,2023-03-15,Gas,1594,176.84,Bezahlt
7,1,2023-04-15,Electricity,297,126.63,Überfällig
8,1,2023-04-15,Gas,1254,128.21,Bezahlt
9,1,2023-05-15,Electricity,284,93.81,Bezahlt
10,1,2023-05-15,Gas,1199,131.83,Bezahlt
11,1,2023-06-15,Electricity,215,79.59,Bezahlt
12,1,2023-06-15,Gas,774,76.56,Bezahlt
13,1,2023-07-15,Electricity,196,87.63,Bezahlt
14,1,2023-08-15,Electricity,198,69.68,Bezahlt
15,1,2023-09-15,Electricity,329,124.41,Bezahlt
16,1,2023-10-15,Electricity,297,125.52,Bezahlt
17,1,2023-10-15,Gas,1112,150.06,Bezahlt
18,1,2023-11-15,Electricity,347,125.16,Bezahlt
19,1,2023-12-15,Electricity,348,130.15,Bezahlt
20,1,2024-01-15,Electricity,377,141.17,Bezahlt
21,1,2024-01-15,Gas,1749,153.85,Bezahlt
22,1,2024-02-15,Electricity,418,133.02,Offen
23,1,2024-02-15,Gas,1733,232.47,Bezahlt
24,1,2024-03-15,Electricity,377,162.22,Bezahlt
25,1,2024-03-15,Gas,1303,175.24,Überfällig
26,1,2024-04-15,Electricity,268,120.91,Bezahlt
27,1,2024-04-15,Gas,1080,121.64,Bezahlt
28,1,2024-05-15,Electricity,258,108.77,Bezahlt
29,1,2024-05-15,Gas,1324,143.66,Bezahlt
30,1,2024-06-15,Electricity,218,84.95,Offen
31,1,2024-06-15,Gas,914,104.99,Bezahlt
32,1,2024-07-15,Electricity,212,96.33,Bezahlt
33,1,2024-08-15,Electricity,181,77.01,Bezahlt
34,1,2024-09-15,Electricity,268,88.42,Bezahlt
35,1,2024-09-15,Gas,1295,179.9,Bezahlt
36,1,2024-10-15,Electricity,292,103.58,Bezahlt
37,1,2024-10-15,Gas,1158,143.84,Bezahlt
38,1,2024-11-15,Electricity,325,131.23,Bezahlt
39,1,2024-11-15,Gas,1421,156.41,Bezahlt
40,1,2024-12-15,Electricity,393,150.15,Bezahlt
41,1,2025-01-15,Electricity,403,133.73,Bezahlt
42,1,2025-02-15,Electricity,405,174.72,Bezahlt
43,1,2025-02-15,Gas,1642,182.92,Bezahlt
44,1,2025-03-15,Electricity,337,131.1,Bezahlt
45,1,2025-03-15,Gas,1285,137.21,Bezahlt
46,1,2025-04-15,Electricity,250,103.87,Bezahlt
47,1,2025-04-15,Gas,1128,153.26,Offen
48,1,2025-05-15,Electricity,252,102.38,Bezahlt
49,1,2025-05-15,Gas,1238,164.42,Bezahlt
50,1,2025-06-15,Electricity,232,106.2,Bezahlt
51,2,2023-01-15,Electricity,587,214.33,Bezahlt
52,2,2023-01-15,Gas,1869,221.16,Bezahlt
53,2,2023-02-15,Electricity,600,239.84,Bezahlt
54,2,2023-02-15,Gas,2157,205.58,Bezahlt
55,2,2023-03-15,Electricity,417,142.24,Bezahlt
56,2,2023-03-15,Gas,1583,193.74,Offen
57,2,2023-04-15,Electricity,421,148.55,Offen
58,2,2023-04-15,Gas,1616,199.68,Bezahlt
59,2,2023-05-15,Electricity,319,129.42,Bezahlt
60,2,2023-05-15,Gas,1276,145.32,Bezahlt
61,2,2023-06-15,Electricity,245,93.94,Bezahlt
62,2,2023-07-15,Electricity,240,109.18,Bezahlt
63,2,2023-08-15,Electricity,241,112.98,Offen
64,2,2023-08-15,Gas,905,92.27,Bezahlt
65,2,2023-09-15,Electricity,370,135.45,Bezahlt
66,2,2023-10-15,Electricity,331,115.4,Bezahlt
67,2,2023-10-15,Gas,1351,150.91,Bezahlt
68,2,2023-11-15,Electricity,501,219.23,Offen
69,2,2023-11-15,Gas,1754,218.59,Bezahlt
70,2,2023-12-15,Electricity,494,170.68,Bezahlt
71,2,2023-12-15,Gas,2396,235.97,Bezahlt
72,2,2024-01-15,Electricity,587,184.96,Bezahlt
73,2,2024-01-15,Gas,1883,235.39,Überfällig
74,2,2024-02-15,Electricity,493,209.12,Bezahlt
75,2,2024-02-15,Gas,2294,319.01,Offen
76,2,2024-03-15,Electricity,453,200.89,Bezahlt
77,2,2024-03-15,Gas,2041,239.64,Bezahlt
78,2,2024-04-15,Electricity,326,113.3,Bezahlt
79,2,2024-05-15,Electricity,384,152.25,Offen
80,2,2024-05-15,Gas,1674,216.4,Bezahlt
81,2,2024-06-15,Electricity,262,96.49,Bezahlt
82,2,2024-07-15,Electricity,301,124.15,Bezahlt
83,2,2024-08-15,Electricity,240,98.89,Bezahlt
84,2,2024-09-15,Electricity,384,146.46,Bezahlt
85,2,2024-09-15,Gas,1423,199.11,Bezahlt
86,2,2024-10-15,Electricity,325,145.05,Bezahlt
87,2,2024-11-15,Electricity,508,161.07,Offen
88,2,2024-12-15,Electricity,571,250.04,Bezahlt
89,2,2024-12-15,Gas,2155,236.96,Bezahlt
90,2,2025-01-15,Electricity,550,176.95,Bezahlt
91,2,2025-01-15,Gas,1967,247.92,Bezahlt
92,2,2025-02-15,Electricity,490,201.0,Bezahlt
93,2,2025-03-15,Electricity,395,167.66,Bezahlt
94,2,2025-03-15,Gas,1744,221.87,Offen
95,2,2025-04-15,Electricity,330,134.92,Offen
96,2,2025-05-15,Electricity,326,105.69,Bezahlt
97,2,2025-05-15,Gas,1398,172.21,Bezahlt
98,2,2025-06-15,Electricity,299,101.05,Bezahlt
99,2,2025-06-15,Gas,1018,117.02,Bezahlt
100,3,2023-01-15,Electricity,861,324.46,Bezahlt
101,3,2023-01-15,Gas,3279,300.16,Bezahlt
102,3,2023-02-15,Electricity,954,279.63,Bezahlt
103,3,2023-03-15,Electricity,903,305.26,Bezahlt
104,3,2023-03-15,Gas,2172,236.96,Bezahlt
105,3,2023-04-15,Electricity,624,216.92,Überfällig
106,3,2023-04-15,Gas,2189,232.34,Bezahlt
107,3,2023-05-15,Electricity,730,270.75,Bezahlt
108,3,2023-05-15,Gas,1977,197.04,Bezahlt
109,3,2023-06-15,Electricity,427,145.34,Bezahlt
110,3,2023-06-15,Gas,1320,162.38,Offen
