transaction_id,date,account_key,department_key,vendor_key,product_key,customer_key,amount,approval_status,procurement_method,approver_id,approval_date,purchase_order_number,contract_reference
1,2024-10-28,2,18,148,24,5734,1903.54,Approved,Ausschreibung,698,2024-11-01,PO-690060,VTR-2025-8479
2,2024-04-30,3,25,197,2,9722,170.77,Approved,Vertrag,430,2024-05-06,,VTR-2020-4905
3,2024-10-30,1,32,103,3,5945,935.15,Approved,Ausschreibung,447,2024-11-02,PO-965315,
4,2025-03-17,1,39,89,10,17288,2763.34,Approved,Direktvergabe,192,2025-03-18,PO-475051,
5,2024-05-23,1,24,147,7,3499,938.38,Pending,Ausschreibung,,,,VTR-2023-2340
6,2025-04-05,1,32,178,18,19829,2168.6,Pending,Direktvergabe,,,PO-521044,VTR-2020-3017
7,2023-06-30,3,10,152,13,6997,1842.98,Approved,Ausschreibung,679,2023-07-02,PO-427677,
8,2022-09-21,3,25,106,19,10857,843.79,Approved,Direktvergabe,705,2022-09-27,PO-468637,VTR-2024-9071
9,2023-11-08,1,25,1,7,11752,258.9,Approved,Ausschreibung,771,2023-11-09,PO-781829,VTR-2025-3561
10,2024-02-29,2,28,84,6,18553,1484.08,Pending,Vertrag,,,PO-282340,VTR-2020-1697
11,2023-12-24,1,11,114,22,9609,4649.25,Approved,Direktvergabe,173,2023-12-27,,VTR-2020-6101
12,2023-06-09,2,13,74,16,5473,499.07,Approved,Ausschreibung,936,2023-06-16,PO-318423,
13,2022-08-01,1,28,108,22,12548,2228.38,Approved,Direktvergabe,994,2022-08-04,,
14,2022-04-20,3,19,121,1,10635,1954.83,Approved,Ausschreibung,360,2022-04-25,,VTR-2024-4879
15,2022-07-12,2,31,162,7,2716,1194.69,Approved,Vertrag,206,2022-07-16,PO-979867,VTR-2020-6621
16,2024-03-20,2,14,191,6,7526,1307.34,Approved,Ausschreibung,346,2024-03-22,PO-562214,VTR-2022-2200
17,2024-02-04,2,33,136,20,3979,311.25,Approved,Ausschreibung,644,2024-02-10,PO-956828,VTR-2025-5945
18,2025-06-05,2,29,186,19,7577,562.09,Approved,Direktvergabe,405,2025-06-07,,VTR-2021-8338
19,2022-03-25,1,24,116,10,3549,1256.1,Approved,Ausschreibung,363,2022-03-31,PO-241233,VTR-2022-4863
20,2022-02-13,3,20,87,11,10936,1665.85,Approved,Ausschreibung,500,2022-02-20,PO-800269,
