hr_fact_id,date,employee_key,department_key,job_key,location_key,salary,attrition_flag
1,2016-12-08,1,24,815,905,48759,0
2,2017-06-07,1,27,807,911,53184,0
3,2017-12-05,1,25,807,906,53184,0
4,2018-08-03,1,31,811,901,53184,0
5,2019-07-09,1,36,813,903,53184,0
6,2020-02-28,1,31,800,901,53184,0
7,2021-01-11,1,17,815,900,53184,0
8,2021-09-21,1,25,803,901,55833,0
9,2022-09-14,1,12,800,901,55833,0
10,2023-03-29,1,35,812,900,55833,0
11,2023-12-14,1,22,815,906,55833,0
12,2024-11-04,1,16,802,901,55833,0
13,2025-06-26,1,40,808,906,55833,0
14,2019-07-31,2,17,804,911,70497,0
15,2020-02-19,2,28,808,904,73481,0
16,2021-01-06,2,30,809,907,73481,0
17,2021-08-06,2,16,807,910,80002,0
18,2022-05-30,2,38,803,907,80002,0
19,2022-12-05,2,14,800,909,80002,0
20,2023-11-06,2,25,815,905,82961,0
21,2024-05-10,2,38,808,908,82961,0
22,2024-12-24,2,14,800,902,90243,0
23,2018-11-18,3,29,803,907,53203,0
24,2019-06-22,3,13,815,909,56328,0
25,2020-01-05,3,24,813,902,56328,0
26,2020-09-06,3,20,808,900,56328,0
27,2021-05-25,3,33,806,905,56328,0
28,2022-01-03,3,38,814,900,60972,0
29,2022-11-16,3,13,808,903,60972,0
30,2023-06-05,3,10,805,911,60972,0
31,2024-01-15,3,40,805,905,60972,0
32,2024-09-17,3,16,811,905,60972,0
33,2022-12-20,4,17,811,902,83284,0
34,2023-08-27,4,40,800,909,83284,0
35,2024-07-10,4,30,813,902,83284,0
36,2025-01-09,4,11,800,910,89493,0
37,2021-03-08,6,16,814,910,73706,0
38,2021-09-23,6,37,804,900,73706,0
39,2022-07-18,6,40,814,905,73706,0
40,2023-06-07,6,28,800,904,73706,0
41,2024-05-05,6,19,813,901,73706,0
42,2024-12-08,6,16,810,902,73706,0
43,2023-01-22,7,22,803,903,84702,0
44,2023-10-05,7,33,812,907,91505,0
45,2024-09-16,7,35,815,901,91505,0
46,2025-04-01,7,20,808,907,91505,0
47,2017-05-12,8,21,802,910,84413,0
48,2018-05-01,8,31,804,911,84413,0
49,2019-04-10,8,10,809,906,84413,0
50,2019-11-19,8,16,801,910,84413,0
51,2020-09-03,8,28,809,901,84413,0
52,2021-04-15,8,31,810,903,84413,0
53,2021-12-17,8,16,809,901,84413,0
54,2022-06-21,8,20,815,901,84413,0
55,2023-03-13,8,34,812,904,84413,0
56,2024-02-12,8,36,804,902,84413,0
57,2024-10-31,8,28,813,910,84413,0
58,2023-11-07,9,10,808,907,52528,0
59,2024-09-06,9,32,806,906,52528,0
60,2025-06-18,9,37,813,902,52528,0
61,2020-09-02,10,25,807,911,37169,0
62,2021-08-04,10,37,800,910,37169,0
63,2022-02-27,10,23,813,901,39754,0
64,2022-11-04,10,25,800,901,39754,0
65,2023-05-16,10,33,807,906,39754,0
66,2024-03-09,10,23,800,904,39754,0
67,2024-12-25,10,31,809,905,39754,0
68,2024-06-25,11,34,807,907,78260,0
69,2024-12-30,11,11,802,911,78260,0
70,2024-05-06,12,20,808,905,76117,0
71,2024-12-05,12,14,800,910,76117,0
72,2019-06-05,13,20,808,907,59803,0
73,2020-05-16,13,27,806,910,59803,0
74,2020-11-30,13,24,802,906,59803,0
75,2021-07-25,13,21,812,911,59803,0
76,2022-03-20,13,12,813,903,59803,0
77,2022-09-26,13,31,814,901,59803,0
78,2023-09-18,13,11,801,909,62697,0
79,2024-06-06,13,16,808,900,62697,0
80,2025-01-21,13,28,810,905,62697,0
81,2024-07-24,14,36,811,910,44638,0
82,2025-05-07,14,36,808,908,44638,0
83,2023-02-06,15,39,807,906,44063,0
84,2024-01-27,15,22,811,907,44063,0
85,2024-08-11,15,39,815,907,44063,0
86,2025-06-02,15,16,812,910,44063,0
87,2018-04-11,16,40,815,901,56251,0
88,2018-11-12,16,13,802,907,56251,0
89,2019-09-30,16,29,808,904,56251,0
90,2020-09-22,16,22,805,907,56251,0
91,2021-04-30,16,26,813,907,59850,0
92,2022-02-18,16,37,804,905,59850,0
93,2022-11-25,16,23,806,905,59850,0
