campaign_fact_id,date,campaign_key,product_key,channel_key,region_key,spend,leads_generated,impressions
1,2024-02-15,77,11,605,401,52.08,97,3684
2,2024-09-10,28,8,605,402,132.3,69,13910
3,2024-07-20,15,9,603,400,154.76,95,11152
4,2022-11-28,80,22,603,402,409.19,90,14025
5,2022-09-28,32,25,604,400,192.71,36,14950
6,2025-03-03,27,8,604,402,56.77,6,3332
7,2024-06-25,7,2,600,403,199.94,90,10650
8,2022-01-24,67,1,600,403,322.45,87,9394
9,2024-06-14,73,6,604,402,57.47,43,11555
10,2025-01-18,36,21,603,402,163.64,44,122
11,2024-07-13,42,16,605,402,204.48,64,5239
12,2025-01-12,31,12,601,402,179.6,47,6480
13,2023-11-25,79,5,602,403,235.14,20,14099
14,2024-07-28,88,2,600,402,379.59,79,6232
15,2023-09-25,61,3,603,400,380.85,75,6716
16,2022-07-31,6,17,604,402,272.92,6,3445
17,2023-02-08,98,16,600,402,93.65,53,11350
18,2023-01-20,57,1,600,401,198.18,46,8788
19,2024-05-27,53,14,604,403,123.15,88,7073
20,2023-04-26,56,25,600,403,50.05,64,11551
21,2024-07-31,6,24,604,403,365.68,38,2452
22,2022-03-06,84,8,605,401,301.95,11,3247
23,2024-01-10,79,24,604,400,423.58,33,13977
24,2025-04-21,17,7,601,403,241.74,72,2200
25,2022-09-26,48,2,601,400,278.58,21,9873
26,2023-09-28,76,1,605,403,200.22,57,3667
27,2022-01-18,95,4,602,401,352.93,67,14721
28,2024-01-23,25,3,603,403,67.21,29,11308
29,2025-05-20,96,3,602,400,60.74,36,3850
30,2025-02-06,52,4,601,400,498.37,31,5594
31,2025-05-22,65,5,601,402,431.25,66,9825
32,2025-05-08,70,26,601,401,211.4,57,405
33,2025-03-08,45,5,603,400,413.15,14,4626
34,2022-05-11,74,20,601,402,484.17,97,6238
35,2025-02-13,33,6,602,401,132.16,29,12686
36,2022-10-21,30,13,604,400,93.5,35,3332
37,2024-03-10,37,24,605,402,429.48,36,10336
38,2023-01-11,11,27,602,401,105.08,57,7481
39,2024-02-09,58,17,601,403,402.91,61,6633
40,2024-05-16,99,16,604,402,407.03,80,11871
41,2023-12-03,95,5,604,401,286.72,39,12419
42,2023-04-11,19,4,602,401,198.71,13,11328
43,2022-05-10,81,9,603,403,182.58,82,3378
44,2022-11-19,42,13,605,401,357.21,35,914
45,2022-11-30,3,10,602,400,430.67,89,6197
46,2023-06-06,80,21,603,400,377.14,70,7544
47,2025-06-24,28,27,602,402,230.11,77,7263
48,2023-04-17,68,13,603,400,256.54,18,5710
49,2022-10-23,13,1,601,400,202.83,11,10603
50,2022-07-17,59,1,605,402,258.88,95,5078
51,2023-03-22,2,11,605,401,192.99,88,5936
52,2023-06-23,23,23,600,400,363.81,60,5723
53,2022-06-12,51,19,603,402,450.01,89,11249
54,2023-05-29,55,8,600,401,430.13,74,6231
55,2023-10-01,70,3,603,402,441.24,97,8310
56,2023-05-19,4,5,601,402,318.45,86,9256
57,2024-09-09,43,9,605,401,93.3,84,11529
58,2022-07-26,8,20,604,403,104.42,61,4378
59,2024-08-22,99,22,600,401,300.13,26,2567
60,2025-02-05,53,5,601,402,91.24,69,11513
61,2023-03-29,18,18,605,402,176.48,47,2490
62,2023-09-28,96,4,602,402,51.06,29,13965
63,2024-08-09,44,6,601,401,361.35,72,10963
64,2024-01-16,70,21,600,401,466.69,35,9577
65,2023-01-30,52,1,605,400,419.05,89,4373
66,2022-12-24,50,16,603,402,186.95,45,14716
67,2022-02-17,11,23,601,403,56.81,58,2876
68,2022-03-18,9,2,604,402,233.3,63,9099
69,2023-12-21,20,19,600,403,395.41,85,710
70,2023-10-08,19,8,600,401,90.76,55,9355
71,2024-09-26,92,1,602,401,322.99,5,5559
72,2022-06-02,79,1,602,401,426.92,90,5172
73,2025-02-27,48,3,602,401,214.44,38,9295
74,2024-04-11,9,21,601,401,375.47,84,4783
75,2022-04-25,19,6,600,400,450.49,78,6911
76,2023-03-06,65,9,600,403,217.24,68,8875
77,2023-09-25,61,20,604,402,487.48,8,14659
78,2025-04-05,7,5,605,401,159.53,39,6515
79,2022-02-16,49,20,600,401,212.38,85,5822
80,2022-12-21,22,7,600,401,372.34,26,1318
81,2023-05-04,82,12,601,402,126.27,27,12505
82,2025-04-19,42,9,601,400,145.77,10,14227
83,2022-04-16,92,8,604,402,271.13,43,6565
84,2024-11-30,55,23,600,403,366.42,46,8755
85,2024-09-09,49,24,601,401,205.72,24,5625
86,2023-07-26,27,8,603,400,464.39,78,1399
87,2025-02-18,79,26,600,401,410.48,67,11343
88,2023-03-01,41,7,604,401,213.14,53,14605
89,2024-12-18,98,23,603,401,147.03,30,11935
90,2022-12-01,28,1,602,400,54.2,5,4141
91,2022-05-14,31,17,600,402,347.88,53,3490
92,2022-08-25,42,21,605,401,484.39,16,13601
93,2022-11-30,82,4,600,403,76.82,21,12229
94,2025-05-20,43,2,602,403,184.32,45,8382
95,2024-05-20,4,11,603,400,388.26,37,1280
96,2023-10-01,50,20,603,401,391.98,52,4975
97,2024-03-18,67,1,605,403,252.07,75,8944
98,2024-02-05,97,2,601,401,213.05,15,9536
99,2024-10-07,10,1,604,400,182.84,91,1578
100,2024-07-31,52,13,601,400,428.92,85,435
101,2022-12-31,38,18,603,401,69.44,82,13587
102,2025-06-12,65,10,605,401,63.01,68,11222
103,2022-11-24,98,11,601,402,467.47,94,6023
104,2024-04-21,10,14,602,400,97.94,65,6601
105,2024-12-06,62,19,605,403,396.75,56,4973
106,2024-10-15,92,12,601,403,50.19,5,12378
107,2022-05-27,45,10,601,403,386.52,68,4281
108,2022-10-07,99,12,602,403,467.22,65,671
109,2024-07-20,94,9,602,402,495.83,27,13707
110,2023-08-14,98,12,603,403,111.89,93,4754
111,2022-02-26,46,1,605,400,358.61,45,508
112,2024-01-30,17,15,601,402,419.97,88,4443
113,2023-09-11,89,4,601,402,249.69,78,9118
114,2023-07-01,93,20,601,400,51.07,15,891
115,2022-01-27,61,1,605,403,119.02,11,2393
116,2022-08-30,70,12,604,400,61.42,8,1020
117,2023-11-30,76,11,602,401,469.15,71,12516
118,2022-09-03,63,1,605,400,409.24,61,4804
119,2022-11-11,53,26,600,400,297.2,17,13578
120,2023-05-16,52,22,604,400,197.35,88,9166
121,2023-02-20,46,11,603,402,109.61,85,10269
122,2022-07-30,23,19,604,402,65.71,15,5018
123,2025-02-21,66,27,602,403,216.57,78,10968
124,2024-11-08,7,4,602,402,256.89,25,11962
125,2024-05-05,1,17,601,400,453.0,21,2192
126,2022-01-04,12,18,602,403,306.01,94,2764
127,2024-10-19,48,17,603,403,155.9,64,5988
128,2022-12-25,41,13,601,400,252.54,72,10362
129,2024-05-12,79,15,604,403,250.71,81,8511
130,2023-02-01,38,16,604,403,268.63,94,1502
131,2022-11-30,25,14,601,400,296.98,33,14484
132,2024-08-31,83,24,601,402,497.47,67,9255
133,2022-12-11,86,17,604,401,263.34,72,5124
134,2024-10-13,42,23,602,403,465.64,33,9090
135,2023-07-10,59,12,600,401,442.1,16,13388
136,2022-06-08,49,20,603,401,143.28,84,824
137,2023-03-26,6,18,602,402,100.37,18,8945
138,2022-12-27,80,8,601,401,159.68,31,6823
139,2023-02-20,1,27,603,402,174.89,12,13821
140,2023-03-12,93,8,601,403,212.94,79,1554
141,2022-04-21,76,9,605,402,383.96,29,4979
142,2022-09-09,48,4,604,400,184.64,8,5887
143,2024-11-08,36,6,602,403,89.06,19,13829
144,2023-07-03,64,17,603,402,383.73,31,2463
145,2022-07-14,62,8,601,400,455.19,90,7558
146,2022-04-23,37,20,600,400,310.59,27,12232
147,2023-11-12,27,19,602,400,434.83,99,10397
148,2025-04-12,56,6,604,403,239.34,66,14401
149,2025-01-06,37,18,603,400,223.71,45,11898
150,2023-04-05,97,21,605,403,323.31,94,9863
151,2022-04-03,74,3,601,400,313.12,27,9149
152,2022-01-12,55,3,603,401,499.91,60,7659
153,2024-05-01,54,16,600,401,439.52,27,12593
154,2022-12-15,9,17,605,401,264.18,33,489
155,2022-06-19,62,17,603,401,89.45,61,4105
156,2025-05-19,89,16,601,402,475.48,95,8904
157,2023-04-07,2,27,604,402,462.19,66,8680
158,2022-06-30,87,5,604,401,303.88,21,12381
159,2023-09-07,81,26,601,400,259.81,95,10894
160,2022-01-09,59,19,604,401,274.6,77,10243
161,2023-05-28,48,5,604,400,122.81,62,9731
162,2023-11-22,5,12,601,401,145.51,27,415
163,2024-03-25,52,23,605,403,303.07,42,5164
164,2023-10-14,20,20,601,401,68.75,20,3130
165,2022-12-16,79,23,602,403,357.86,22,11974
166,2025-01-23,40,19,603,400,415.68,95,2202
167,2025-03-23,94,5,602,403,332.62,35,8508
168,2024-06-08,86,23,604,401,261.47,79,3588
169,2023-07-14,45,15,605,400,82.95,64,2577
170,2023-08-24,92,2,603,400,321.11,61,1815
171,2022-07-13,32,17,604,402,107.66,18,10063
172,2022-08-29,14,2,600,400,142.56,85,8909
173,2023-01-27,12,4,601,400,108.98,60,6812
174,2024-06-02,20,6,600,403,368.35,47,3873
175,2022-08-24,34,17,601,401,245.87,33,14851
176,2024-02-28,3,14,603,400,232.7,43,10346
177,2023-09-16,76,4,603,403,251.06,48,11854
178,2025-04-09,44,5,601,401,67.64,64,8696
179,2024-07-24,65,24,604,400,307.49,92,6530
180,2022-11-13,83,12,604,400,428.05,48,6538
181,2023-06-03,50,16,601,403,473.56,71,12871
182,2022-07-22,39,25,601,401,412.3,65,10748
183,2022-11-12,90,24,603,402,53.14,65,317
184,2022-07-17,14,25,601,403,121.3,26,12392
185,2023-06-07,5,24,602,403,358.23,67,3360
186,2023-07-27,79,15,600,403,288.44,56,9815
187,2025-03-14,51,10,605,401,186.45,37,5848
188,2023-07-03,44,16,604,402,97.53,66,11018
189,2023-01-07,30,13,603,400,462.31,36,2707
190,2025-01-30,94,22,601,400,215.41,67,5188
191,2023-03-05,88,5,603,401,115.6,25,2843
192,2023-10-09,47,8,603,403,92.58,29,12714
193,2023-10-12,25,2,603,401,70.72,99,5308
194,2022-06-07,15,25,604,401,205.27,82,11895
195,2024-03-20,85,4,605,403,254.11,62,13676
196,2023-01-09,82,22,600,400,280.88,22,6673
197,2023-05-07,69,10,600,403,157.64,71,13198
198,2025-05-22,93,8,602,401,103.59,46,7753
199,2024-03-27,28,13,605,401,422.27,52,9737
200,2023-08-08,40,15,603,400,429.94,50,4518
201,2023-01-11,33,23,604,400,139.69,62,6048
202,2024-05-25,50,25,604,402,194.01,80,13361
203,2025-05-29,13,4,603,402,328.81,87,4782
204,2023-01-05,99,17,602,403,80.46,39,1866
205,2024-02-14,7,12,604,401,344.65,25,5082
206,2022-09-05,69,17,603,401,116.7,26,10897
207,2022-04-04,48,5,602,402,400.71,75,12776
208,2023-06-17,39,22,604,400,164.56,100,7848
209,2023-03-19,70,8,601,401,328.12,86,11723
210,2025-02-03,3,19,600,400,63.09,15,8221
211,2022-07-20,73,24,604,402,169.69,40,9070
212,2025-01-10,35,8,605,402,383.95,41,12452
213,2024-07-17,47,16,605,403,89.04,49,7265
214,2025-02-02,54,16,605,402,114.92,22,5801
215,2023-06-06,34,9,601,403,468.67,77,8527
216,2022-11-29,59,2,602,402,192.7,9,12909
217,2024-11-05,31,4,604,400,293.4,88,12616
218,2025-05-14,53,7,602,403,377.97,15,13473
219,2022-01-06,98,5,603,403,230.75,9,7720
220,2024-05-26,40,1,600,402,50.7,19,2963
221,2022-10-21,66,13,605,400,490.37,11,389
222,2024-04-08,24,20,601,403,366.81,94,13105
223,2025-02-19,39,23,600,403,240.02,81,3263
224,2024-04-04,24,18,600,403,374.63,55,7620
225,2022-09-24,64,7,602,403,208.51,72,5246
226,2022-08-27,75,20,603,402,448.64,64,14214
227,2022-09-02,67,18,601,400,184.25,36,5163
228,2023-05-22,81,21,602,401,185.07,99,8990
229,2025-02-24,12,18,605,402,301.61,83,8576
230,2024-06-26,20,17,600,403,363.39,68,8189
231,2022-09-21,8,2,601,402,175.44,85,10580
232,2022-05-17,96,13,601,401,68.71,83,2082
233,2023-07-29,5,26,600,401,496.53,90,12600
234,2022-01-19,28,21,604,403,403.4,48,4159
235,2022-11-07,53,20,603,401,499.2,66,14000
236,2022-02-22,53,14,602,401,53.72,68,8810
237,2022-09-22,15,26,600,400,302.5,38,7861
238,2024-05-18,4,13,605,402,371.02,94,8075
239,2022-10-10,32,15,600,403,213.92,63,9140
240,2022-09-12,29,24,602,400,105.07,30,14189
241,2024-04-14,84,1,602,402,276.64,61,11672
242,2024-10-12,100,8,604,403,267.78,36,5596
243,2024-04-28,9,7,603,400,285.4,36,120
244,2025-02-05,88,27,600,401,338.73,38,11973
245,2022-05-03,33,24,603,401,153.46,6,10144
246,2022-01-21,19,23,601,400,64.85,59,1130
247,2023-05-23,48,21,605,401,351.66,48,10355
248,2022-12-23,90,12,600,400,291.46,22,13046
249,2024-11-09,58,19,602,401,144.07,57,11110
250,2022-07-20,66,1,605,402,344.23,15,5787
251,2023-06-25,76,9,600,402,124.13,86,11096
252,2023-11-18,46,2,604,402,172.27,37,4461
253,2025-01-13,48,3,603,402,88.07,85,8393
254,2025-01-16,23,13,605,400,299.37,13,11725
255,2022-10-11,10,19,602,400,60.67,44,8947
256,2023-11-06,67,25,602,401,109.51,63,8509
257,2024-06-03,20,5,605,401,140.03,22,6987
258,2025-03-12,47,21,600,402,404.5,80,12750
259,2024-04-02,8,6,602,403,75.85,38,3279
260,2023-04-12,75,27,601,403,301.08,45,356
261,2022-09-05,42,23,600,402,385.44,56,2974
262,2022-05-21,30,19,605,402,483.22,64,791
263,2022-12-19,65,10,602,400,202.33,79,2328
264,2025-02-03,4,8,600,403,350.54,20,2544
265,2025-02-14,42,17,602,402,353.32,7,6143
266,2023-12-20,13,22,601,402,344.79,34,7345
267,2023-11-26,40,7,600,403,458.5,28,3198
268,2022-05-01,35,14,604,403,329.85,22,1395
269,2023-09-11,87,9,604,402,475.02,74,3069
270,2022-11-28,19,25,603,402,88.57,11,1847
271,2022-04-21,27,25,605,402,379.24,26,3250
272,2023-02-10,61,9,602,402,86.67,37,1136
273,2024-10-22,100,4,601,401,372.15,21,2640
274,2022-01-28,6,8,601,402,144.53,39,4543
275,2023-04-27,67,12,604,400,288.06,27,6265
276,2023-06-28,63,15,601,402,151.16,48,13126
277,2023-10-01,47,8,603,403,257.61,65,9451
278,2024-12-15,24,23,604,401,272.83,74,11935
279,2022-10-28,34,24,600,402,463.5,92,2761
280,2023-04-30,15,23,602,401,380.48,45,152
281,2022-03-18,51,10,601,400,104.97,80,4612
