sale_id,date,customer_key,product_key,sales_rep_key,region_key,vendor_key,amount,units
1,2025-11-22,59,6,106,401,51,1178.02,24085
2,2025-01-08,161,25,123,401,96,3377.59,1
3,2023-11-11,71,7,80,403,56,1085.85,13369
4,2022-07-12,838,13,80,401,76,12287.09,14
5,2025-04-01,208,9,37,403,58,1405.97,10121
6,2025-09-04,66,17,146,403,63,30775.7,1
7,2023-11-15,472,6,166,402,59,2422.04,14717
8,2023-10-28,356,15,157,401,23,29393.36,11
9,2024-09-26,426,5,99,403,85,1919.84,3875
10,2024-11-02,188,10,62,402,21,18625.89,5
11,2023-11-11,281,22,18,403,90,599.99,1
12,2022-12-05,744,11,196,401,71,32535.88,11
13,2022-11-23,125,24,130,402,99,4143.89,1
14,2025-06-11,799,4,130,400,6,896.71,2849
15,2024-06-19,474,4,103,403,25,1286.08,5055
16,2025-08-25,407,3,35,403,42,806.43,5756
17,2023-07-27,687,13,141,400,85,20456.64,6
18,2024-10-18,249,13,42,401,22,11786.91,9
19,2024-08-29,859,1,137,402,95,919.03,2508
20,2025-02-25,401,1,113,401,46,1819.29,2628
21,2025-07-12,183,1,56,401,57,2206.84,4180
22,2023-10-24,714,5,169,401,14,1753.82,4934
23,2022-02-14,400,13,13,401,99,9415.21,5
24,2023-11-25,387,17,62,402,26,26239.34,1
25,2023-05-29,94,1,50,402,88,2380.72,3380
26,2023-11-05,686,1,171,403,22,2034.46,5401
27,2022-09-07,742,4,84,403,42,1522.5,5340
28,2025-01-26,576,14,102,401,55,13592.22,13
29,2024-06-01,124,1,4,403,52,1241.84,2711
30,2022-07-05,670,4,17,400,85,982.98,2901
31,2022-05-31,835,5,56,400,53,1264.16,2275
32,2025-04-08,309,19,27,400,92,44493.07,1
33,2025-03-09,550,17,25,403,77,22558.2,1
34,2023-04-21,333,27,198,401,89,3872.65,1
35,2024-08-06,137,3,124,401,9,2360.44,4729
36,2025-03-02,344,5,164,402,95,1408.04,4093
37,2024-02-17,239,6,195,403,16,1311.73,20098
38,2023-08-09,317,4,21,401,8,1963.04,4538
39,2023-08-27,141,8,53,402,83,1244.43,16156
40,2024-06-25,39,5,190,402,43,2379.39,3817
41,2024-03-11,138,1,166,403,37,1537.57,3699
42,2025-11-22,769,3,139,401,7,1216.91,2843
43,2023-07-15,929,21,179,403,93,680.87,1
44,2023-05-13,228,13,114,403,81,22079.74,7
45,2025-04-03,7,4,14,402,82,725.97,2788
46,2024-05-12,145,21,152,403,71,255.06,1
47,2025-02-19,852,17,21,401,55,22089.3,1
48,2023-09-28,743,7,109,400,23,2387.68,14012
49,2025-02-23,621,3,163,400,26,1637.56,5963
50,2024-03-06,279,23,93,402,51,248.01,1
51,2022-12-11,387,4,189,402,56,1360.86,4496
52,2024-08-25,779,4,110,402,11,635.66,3562
53,2022-04-24,778,22,40,401,71,557.11,1
54,2025-09-21,745,4,73,402,49,1434.57,3857
55,2024-04-18,576,10,51,401,20,16997.32,12
56,2023-12-12,939,1,186,401,48,2150.98,4991
57,2024-05-14,504,9,96,402,50,2868.63,22160
58,2023-11-07,502,5,10,402,16,728.22,5624
59,2024-03-21,395,21,112,401,33,316.54,1
60,2025-04-15,790,22,126,401,82,505.77,1
61,2022-09-15,706,6,189,400,32,2231.99,16947
62,2025-10-27,249,8,8,401,90,2188.1,21082
63,2022-04-12,682,12,38,402,33,24346.76,15
64,2022-06-08,254,15,30,401,99,30720.93,5
65,2025-04-03,95,13,21,402,67,18737.01,14
66,2025-01-31,932,4,65,403,89,898.48,3748
67,2023-07-08,310,9,106,400,97,2089.38,22024
68,2023-12-23,898,20,147,400,100,265.56,1
69,2024-08-21,817,2,192,403,51,1084.24,2858
70,2022-05-13,716,2,25,402,9,2069.5,2006
71,2025-04-07,793,14,188,400,56,19254.74,9
72,2025-07-19,175,2,125,403,24,1867.28,2811
73,2025-08-11,515,23,55,403,24,540.26,1
74,2024-07-17,206,2,67,400,53,2056.52,2785
75,2022-01-01,452,14,43,400,11,10948.28,15
76,2022-08-03,301,1,8,403,75,1098.17,3401
77,2022-08-06,241,6,193,402,1,820.91,14359
78,2024-02-15,682,6,2,402,49,1013.05,18557
79,2023-07-24,618,8,194,401,44,2850.68,17753
80,2024-04-23,619,8,81,400,31,2300.09,15620
81,2022-10-13,964,9,92,403,43,1632.56,10937
82,2024-09-22,826,4,186,401,18,2166.97,3645
83,2023-04-08,27,14,95,403,58,15545.62,8
84,2024-04-12,634,13,49,402,1,21902.68,15
85,2025-08-26,654,26,93,401,6,1558.21,1
86,2023-03-21,993,18,60,401,78,35337.88,1
87,2025-10-09,497,6,169,403,90,1566.33,17800
88,2023-09-27,927,4,183,400,19,1128.95,2799
89,2025-12-05,891,6,23,403,39,1081.29,23055
90,2023-05-18,853,14,44,401,58,34654.93,12
91,2022-05-11,978,5,44,403,97,1033.62,2866
92,2022-01-12,967,10,42,401,42,10847.68,5
93,2025-12-11,925,8,171,403,61,1284.83,14220
94,2023-08-14,975,20,137,400,82,599.29,1
95,2022-07-06,743,8,197,400,77,2718.27,19436
96,2023-03-06,67,13,168,402,83,32574.51,11
97,2023-06-24,804,9,67,402,15,2578.58,13662
98,2024-03-12,298,1,49,402,96,1212.43,4425
99,2022-03-19,965,3,98,403,74,829.35,3283
100,2024-10-23,755,1,100,400,55,1662.11,2777
101,2025-04-13,328,17,155,401,76,30592.54,1
102,2023-06-09,228,1,81,403,19,1568.93,3886
103,2025-06-11,836,21,117,402,19,499.9,1
104,2025-06-17,616,1,129,400,89,1677.98,3265
105,2022-12-10,127,5,56,401,64,1460.91,5394
106,2024-10-22,299,13,40,401,92,9587.94,10
107,2023-07-30,216,17,14,402,100,36012.22,1
108,2023-04-10,184,23,169,400,21,379.46,1
109,2023-07-13,23,8,90,403,97,1729.36,17756
110,2023-07-12,401,8,180,401,71,1421.2,13196
111,2024-03-06,404,3,14,401,91,1954.08,4377
112,2024-08-25,312,7,179,402,62,2069.75,17239
113,2023-11-25,299,21,192,401,26,330.88,1
114,2022-10-02,753,12,27,402,87,27600.85,14
115,2023-07-16,805,25,110,402,87,2817.95,1
116,2025-09-11,862,1,122,403,23,772.89,5990
117,2025-05-11,968,5,112,403,20,1770.18,4430
118,2022-08-14,643,11,102,402,63,8917.81,8
119,2025-12-27,310,11,199,400,89,25625.52,11
120,2024-09-05,815,10,98,401,36,28998.73,15
121,2022-07-16,648,12,22,401,16,8313.27,6
122,2022-04-15,501,14,147,401,74,14073.25,14
123,2022-01-23,492,1,99,403,62,2029.82,2741
124,2024-11-19,661,12,84,401,9,23428.42,6
125,2023-12-12,731,21,180,403,3,443.2,1
126,2023-09-30,404,9,150,401,69,940.65,23715
127,2025-12-16,731,16,54,403,85,37605.25,1
128,2022-05-04,920,5,143,401,58,1851.39,2021
129,2024-07-26,820,1,168,400,21,831.87,2844
130,2023-08-31,90,6,130,402,39,986.14,12043
131,2023-10-28,373,25,169,403,1,2980.68,1
132,2025-02-25,255,5,169,403,69,2228.32,3201
133,2024-06-01,456,4,91,400,78,1851.18,4140
134,2023-09-14,552,6,61,402,5,2257.76,10732
135,2022-09-20,193,2,142,402,28,2323.36,4466
136,2024-01-14,606,7,20,400,71,2404.03,16914
137,2024-03-16,262,2,66,403,87,1320.11,2341
138,2023-10-20,436,21,19,400,81,521.54,1
139,2023-06-03,751,2,169,401,83,1886.0,4308
140,2022-09-29,841,7,81,403,56,1723.31,12514
141,2024-06-01,389,5,32,402,69,1045.5,3106
142,2024-04-23,113,13,23,400,47,9780.9,15
143,2025-05-21,932,3,58,403,36,863.39,5269
144,2022-12-12,11,2,32,401,23,1281.54,2430
145,2024-01-03,540,12,25,403,68,23898.33,12
146,2023-08-23,358,12,26,401,7,22891.64,14
147,2024-03-08,175,4,190,403,87,925.21,5301
148,2023-06-20,992,19,33,400,34,29305.86,1
149,2025-11-29,10,15,37,401,49,12198.26,7
150,2024-04-09,582,10,95,403,91,32797.92,15
151,2024-10-26,797,5,47,403,57,1352.84,3875
152,2022-06-15,363,18,110,401,67,23274.69,1
153,2023-12-05,965,11,79,403,53,16240.06,6
154,2024-10-05,790,1,187,401,31,1742.42,2314
155,2022-07-27,968,5,74,403,71,703.34,5045
156,2024-12-03,952,6,174,400,66,2916.77,16946
157,2025-12-07,955,13,174,401,69,21440.74,15
158,2025-12-07,715,1,191,402,1,1709.32,5730
159,2025-02-11,732,8,170,401,68,1337.3,22107
160,2023-11-10,701,14,173,400,98,20113.61,7
161,2022-04-25,537,21,35,402,66,245.07,1
162,2025-07-23,362,27,44,402,48,3234.28,1
163,2022-05-10,994,2,197,400,16,2097.11,5484
164,2023-11-21,298,3,189,402,81,1076.55,2009
165,2024-12-18,583,8,132,403,5,2844.04,20534
166,2025-11-03,958,9,158,401,59,926.49,10096
167,2022-04-24,337,1,185,403,24,609.28,5646
168,2024-07-14,412,6,22,400,68,1747.77,13236
169,2025-03-11,527,23,125,403,1,274.31,1
170,2023-04-02,160,18,102,402,48,21782.86,1
171,2022-03-19,307,7,28,403,57,1980.14,14415
172,2023-05-17,673,17,192,401,56,19196.23,1
173,2025-02-10,6,7,11,402,18,1043.46,14667
174,2023-11-16,405,8,171,402,26,2782.2,12626
175,2024-01-19,972,8,141,403,64,1061.34,18012
176,2023-11-17,820,11,129,400,93,16771.97,11
177,2024-12-07,946,13,6,402,17,11548.28,6
178,2023-09-07,160,1,14,402,87,1981.29,2968
179,2025-11-03,850,5,123,401,38,1927.38,3779
180,2025-03-11,289,9,187,401,66,1345.04,12498
181,2023-02-27,192,1,64,403,86,2155.5,4871
182,2022-02-21,841,9,27,403,90,2354.21,23270
183,2025-09-09,748,7,152,401,81,1215.07,24006
184,2024-12-30,650,1,71,403,25,838.13,2157
185,2024-11-27,952,1,14,400,49,1709.64,2372
186,2024-04-03,418,7,123,402,8,1287.91,16980
187,2022-03-31,523,6,94,403,36,1469.44,14411
188,2023-11-22,966,9,13,400,24,1343.33,24665
189,2022-09-04,42,3,72,402,78,981.56,3933
190,2022-03-17,104,8,86,400,39,2886.32,15956
191,2025-12-16,115,1,34,401,43,1829.33,5155
192,2025-03-26,370,12,136,400,78,28059.16,14
193,2024-06-30,381,3,23,403,14,978.06,3573
194,2023-02-23,134,14,168,401,25,11249.57,14
195,2022-05-01,198,10,159,400,44,10021.75,13
196,2024-01-09,309,11,12,400,17,22406.05,7
197,2025-05-28,197,8,144,403,45,2761.49,22441
198,2023-02-10,917,6,124,403,54,2803.87,11109
199,2022-07-13,537,20,71,402,90,300.16,1
200,2023-02-15,991,1,178,400,25,2320.45,2249
201,2025-06-06,759,19,132,403,10,35540.83,1
202,2022-01-21,170,9,103,401,78,2037.5,16393
203,2022-06-12,279,1,152,402,90,888.01,2892
204,2022-09-12,10,23,185,401,68,502.29,1
205,2024-05-13,266,2,142,401,16,1133.45,3099
206,2022-08-09,176,5,164,402,19,1028.79,2160
207,2023-10-15,965,21,14,403,83,362.26,1
208,2025-03-25,255,25,1,403,84,3371.08,1
209,2023-01-17,356,12,68,401,93,16763.17,13
210,2024-10-20,137,8,161,401,2,1514.2,10938
211,2023-12-09,844,8,138,402,85,1188.82,10256
212,2025-03-13,889,16,177,402,49,36678.07,1
213,2025-06-12,969,15,53,403,57,25126.25,13
214,2023-05-16,226,2,193,403,51,1646.99,5308
215,2022-05-04,160,9,123,402,12,1611.01,24781
216,2022-07-31,508,2,49,403,73,2068.08,2721
217,2025-09-25,503,21,6,402,40,588.54,1
218,2022-08-14,167,23,49,402,9,612.42,1
219,2023-12-26,147,2,104,400,13,1419.04,4642
220,2025-12-21,742,6,99,403,3,2127.25,16191
221,2025-01-29,113,16,198,400,11,18965.37,1
222,2022-12-14,275,5,3,401,14,624.29,5958
223,2023-10-05,556,12,52,400,18,31023.45,6
224,2024-07-19,492,19,79,403,43,39463.95,1
225,2022-11-04,491,1,161,403,70,1578.35,3095
226,2024-12-08,127,1,27,401,66,785.07,3215
227,2023-05-19,908,17,58,400,4,15036.31,1
228,2024-07-26,233,7,58,403,88,1577.28,14699
229,2025-01-08,394,15,126,400,22,30215.19,6
230,2022-06-19,113,3,86,400,16,1243.15,4521
231,2022-09-02,370,20,155,400,20,737.35,1
232,2023-08-06,183,8,109,401,20,2119.15,21131
233,2023-03-16,915,12,90,400,14,24868.47,9
234,2024-12-25,278,22,183,402,10,759.73,1
235,2025-01-03,808,2,82,402,19,2000.01,2600
236,2024-02-17,400,9,148,401,55,2592.23,11854
237,2023-07-09,983,11,47,401,99,10442.07,7
238,2024-10-27,395,9,106,401,78,1732.43,21361
239,2023-11-24,813,11,63,400,50,29657.81,15
240,2022-07-31,429,9,59,403,50,1971.44,23457
241,2025-06-24,86,9,178,403,96,1959.28,22723
242,2022-01-18,225,11,5,402,47,17766.15,8
243,2025-09-15,572,7,90,402,47,2825.99,10976
244,2023-10-18,870,17,37,403,71,23840.92,1
245,2024-09-17,996,23,58,400,8,345.5,1
246,2025-11-05,765,2,179,400,55,1279.43,2107
247,2024-09-23,381,1,123,403,77,1792.95,2302
248,2022-03-01,892,2,63,403,10,1257.44,2323
249,2025-09-01,13,9,121,403,96,1129.38,12988
250,2024-07-19,144,15,106,403,93,33616.68,12
251,2025-10-28,346,6,16,402,83,1430.89,12554
252,2023-09-23,33,11,102,403,55,21588.98,5
253,2025-09-02,697,23,67,400,74,532.49,1
254,2025-06-07,514,2,70,402,12,1362.61,2642
255,2023-05-05,535,7,159,402,8,2434.9,16560
256,2023-01-25,225,6,123,402,41,2596.43,17674
257,2022-05-24,669,13,166,402,55,12450.26,10
258,2024-08-13,200,1,200,400,43,740.06,4470
259,2023-07-26,29,2,55,403,77,1574.82,2267
260,2025-02-02,12,18,52,402,82,20632.31,1
261,2024-12-29,952,3,145,400,6,753.07,4335
262,2024-12-08,578,27,81,401,12,1659.88,1
263,2024-05-09,967,3,102,401,65,1953.02,5926
264,2022-10-12,200,4,34,400,90,1906.24,5988
265,2023-05-08,691,4,26,402,65,2213.72,4062
266,2024-10-04,827,16,98,402,62,32615.27,1
267,2022-09-20,601,20,39,403,88,374.07,1
268,2024-03-10,475,1,56,403,88,2315.07,2948
269,2024-09-09,670,2,133,400,94,2388.15,4054
270,2025-04-29,624,12,87,403,38,20081.97,7
271,2022-01-18,369,13,100,400,31,9080.35,15
272,2022-05-23,214,24,146,403,81,4853.05,1
273,2022-06-01,510,1,80,402,71,856.72,5565
274,2023-10-14,889,24,117,402,41,3246.19,1
275,2022-11-17,174,21,148,400,47,240.9,1
276,2023-02-18,362,2,67,402,61,1879.18,3887
277,2022-10-09,263,19,36,402,16,34508.76,1
278,2022-02-04,996,6,103,400,53,1599.64,14696
279,2022-05-15,878,15,132,403,80,11482.57,10
280,2025-10-02,975,1,116,400,34,1827.96,4072
281,2024-08-16,899,20,165,403,8,572.37,1
282,2025-05-04,759,16,27,403,38,19636.87,1
283,2025-10-19,385,4,100,400,60,2136.89,2913
284,2024-07-20,686,4,120,403,14,1443.28,4191
285,2024-10-30,88,1,102,400,99,2251.43,5778
286,2022-06-25,444,3,155,401,63,716.05,3402
287,2025-06-04,218,13,10,401,70,11086.81,12
288,2022-07-09,160,21,82,402,73,584.13,1
289,2024-08-16,33,27,93,403,56,1718.4,1
290,2025-08-06,485,2,195,403,88,2162.44,5902
291,2024-04-06,434,2,71,401,52,750.46,2283
292,2025-11-13,84,4,55,400,86,2168.32,4149
293,2025-08-01,915,1,110,400,44,766.39,5693
294,2024-10-12,987,17,108,403,62,20958.16,1
295,2023-01-05,487,7,91,403,89,2924.3,17156
296,2023-11-13,585,6,153,403,26,2034.0,24643
297,2025-09-28,80,14,171,400,94,24645.83,10
298,2024-07-21,761,18,118,400,19,15425.6,1
299,2025-09-09,512,20,173,402,53,675.21,1
300,2023-02-08,270,6,33,403,82,2974.12,23639
301,2023-09-16,461,14,191,401,25,10631.04,8
302,2025-08-11,431,11,90,403,27,24225.47,8
303,2025-01-29,976,5,94,403,3,2319.19,3516
304,2023-04-18,310,20,167,400,59,619.59,1
305,2022-08-25,424,8,134,402,98,2622.01,16977
306,2022-04-19,344,2,46,402,71,1425.88,3528
307,2025-02-08,610,4,169,403,89,1286.81,5461
308,2023-07-13,697,8,26,400,12,2344.6,24841
309,2023-05-01,826,16,158,401,53,34488.74,1
310,2022-03-29,107,6,149,402,5,2193.76,18247
311,2025-10-27,684,4,117,401,71,981.37,5182
312,2023-01-22,391,4,119,401,53,2310.99,3436
313,2023-10-06,930,19,96,401,29,15228.15,1
314,2023-12-19,520,3,107,400,87,1153.31,5697
315,2025-09-17,248,4,40,400,48,658.81,2107
316,2024-06-10,861,18,147,401,56,25052.7,1
317,2022-09-18,248,9,101,400,7,1223.85,20558
318,2023-12-20,821,23,163,403,50,277.32,1
319,2022-07-30,746,3,60,400,13,1531.1,3791
320,2025-01-27,728,16,101,400,98,33943.23,1
321,2022-11-15,643,21,53,402,12,769.22,1
322,2024-07-28,96,1,40,401,4,1732.01,4430
323,2025-08-25,633,10,191,400,94,23438.43,5
324,2024-11-10,134,26,168,401,29,2152.94,1
325,2022-05-31,305,2,97,403,99,1907.36,5305
326,2022-04-17,267,12,161,401,3,10240.01,7
