opportunity_id,sale_id,account_id,opportunity_name,stage_name,amount,probability,close_date,created_date,lead_source,type,campaign_id
OPP00000001,,ACC000936,Opportunity 1,Angebot,7970.27,37.1,2025-03-22,2024-11-29,Partner,Neukunde,
OPP00000002,2,ACC000449,Opportunity 2,Closed Won,46728.97,100.0,2025-12-07,2025-06-16,Social Media,Bestandskunde - Zusatzprodukt,761
OPP00000003,,ACC000143,Opportunity 3,Angebot,23945.59,49.7,2023-12-30,2023-08-29,Partner,Neukunde,
OPP00000004,,ACC000347,Opportunity 4,Angebot,30575.65,31.4,2021-05-13,2021-01-25,Empfehlung,Bestandskunde - Zusatzprodukt,4807
OPP00000005,5,ACC000132,Opportunity 5,Closed Won,40460.14,100.0,2024-09-05,2024-07-06,Telefonakquise,Bestandskunde - Upgrade,7564
OPP00000006,,ACC000797,Opportunity 6,Qualifizierung,19181.07,75.4,2024-04-06,2023-11-04,Telefonakquise,Bestandskunde - Zusatzprodukt,4435
OPP00000007,7,ACC000396,Opportunity 7,Closed Won,47898.22,100.0,2023-08-09,2023-04-19,Partner,Bestandskunde - Zusatzprodukt,136
OPP00000008,8,ACC000154,Opportunity 8,Closed Won,47589.07,100.0,2021-11-27,2021-09-27,Webseite,Neukunde,
OPP00000009,,ACC000312,Opportunity 9,Angebot,43578.87,23.2,2022-06-03,2022-03-28,Empfehlung,Bestandskunde - Zusatzprodukt,915
OPP00000010,,ACC000358,Opportunity 10,Interessent,35052.57,44.5,2021-10-08,2021-06-09,Telefonakquise,Bestandskunde - Upgrade,
OPP00000011,,ACC000064,Opportunity 11,Qualifizierung,38658.8,47.5,2021-08-07,2021-03-13,Social Media,Bestandskunde - Zusatzprodukt,6074
OPP00000012,,ACC000902,Opportunity 12,Angebot,5834.68,15.4,2021-09-19,2021-07-24,Social Media,Bestandskunde - Zusatzprodukt,
OPP00000013,,ACC000853,Opportunity 13,Verhandlung,39464.87,40.2,2024-10-22,2024-08-06,Telefonakquise,Bestandskunde - Upgrade,
OPP00000014,,ACC000725,Opportunity 14,Qualifizierung,31935.18,17.8,2024-02-13,2023-12-09,Empfehlung,Neukunde,3515
OPP00000015,,ACC000106,Opportunity 15,Qualifizierung,25151.29,73.3,2025-09-05,2025-04-02,Webseite,Bestandskunde - Zusatzprodukt,1799
OPP00000016,,ACC000196,Opportunity 16,Interessent,46902.05,44.9,2022-02-18,2022-01-02,Webseite,Bestandskunde - Zusatzprodukt,
OPP00000017,,ACC000034,Opportunity 17,Interessent,3048.32,75.2,2023-12-11,2023-10-26,Social Media,Bestandskunde - Upgrade,
OPP00000018,,ACC000145,Opportunity 18,Qualifizierung,2943.73,74.1,2021-07-31,2021-06-07,Social Media,Bestandskunde - Zusatzprodukt,6338
OPP00000019,,ACC000176,Opportunity 19,Closed Lost,26845.88,0.0,2023-09-16,2023-03-23,Messe,Bestandskunde - Upgrade,1704
OPP00000020,,ACC000330,Opportunity 20,Qualifizierung,30863.92,68.0,2024-07-12,2024-01-15,Messe,Bestandskunde - Zusatzprodukt,
OPP00000021,21,ACC000252,Opportunity 21,Closed Won,32373.72,100.0,2022-02-05,2021-12-10,Partner,Bestandskunde - Upgrade,1090
OPP00000022,,ACC000765,Opportunity 22,Angebot,6268.94,14.2,2021-04-24,2021-02-27,Messe,Bestandskunde - Zusatzprodukt,974
OPP00000023,,ACC000766,Opportunity 23,Angebot,48843.78,72.8,2025-10-03,2025-06-08,Social Media,Bestandskunde - Upgrade,2573
OPP00000024,,ACC000238,Opportunity 24,Angebot,42114.84,25.6,2025-05-27,2025-01-29,Telefonakquise,Neukunde,5506
OPP00000025,,ACC000511,Opportunity 25,Closed Lost,10167.56,0.0,2024-12-21,2024-10-09,Webseite,Neukunde,91
OPP00000026,,ACC000406,Opportunity 26,Verhandlung,18926.26,29.8,2024-08-26,2024-04-27,Partner,Bestandskunde - Upgrade,3044
OPP00000027,27,ACC000668,Opportunity 27,Closed Won,44858.06,100.0,2023-04-15,2023-02-16,Empfehlung,Bestandskunde - Upgrade,572
OPP00000028,28,ACC000301,Opportunity 28,Closed Won,24299.76,100.0,2022-01-26,2021-10-07,Messe,Bestandskunde - Zusatzprodukt,3660
OPP00000029,,ACC000338,Opportunity 29,Verhandlung,45287.51,13.4,2024-05-05,2024-03-06,Partner,Bestandskunde - Upgrade,1360
OPP00000030,,ACC000789,Opportunity 30,Verhandlung,13378.64,39.4,2024-01-22,2023-11-15,Empfehlung,Bestandskunde - Zusatzprodukt,
OPP00000031,31,ACC000242,Opportunity 31,Closed Won,8480.14,100.0,2023-06-28,2023-03-29,Telefonakquise,Bestandskunde - Upgrade,2416
OPP00000032,,ACC000749,Opportunity 32,Angebot,11789.44,11.9,2022-06-23,2022-01-01,Webseite,Bestandskunde - Upgrade,
OPP00000033,,ACC000854,Opportunity 33,Verhandlung,5995.28,24.0,2025-06-14,2025-02-21,Empfehlung,Bestandskunde - Zusatzprodukt,
OPP00000034,,ACC000157,Opportunity 34,Angebot,21119.21,43.9,2023-07-19,2023-05-05,Empfehlung,Neukunde,7689
OPP00000035,,ACC000747,Opportunity 35,Angebot,43056.34,72.7,2022-04-13,2022-01-17,Webseite,Bestandskunde - Upgrade,
OPP00000036,36,ACC000419,Opportunity 36,Closed Won,18900.96,100.0,2023-06-08,2023-04-02,Webseite,Neukunde,
OPP00000037,,ACC000072,Opportunity 37,Qualifizierung,2740.83,28.5,2024-09-16,2024-06-01,Social Media,Bestandskunde - Upgrade,
OPP00000038,,ACC000093,Opportunity 38,Angebot,14202.29,26.4,2021-05-25,2021-03-18,Social Media,Neukunde,
OPP00000039,,ACC000275,Opportunity 39,Interessent,34719.95,59.6,2023-12-22,2023-10-28,Messe,Bestandskunde - Upgrade,5538
OPP00000040,,ACC000454,Opportunity 40,Closed Lost,42009.76,0.0,2022-12-08,2022-07-04,Webseite,Neukunde,1014
OPP00000041,,ACC000406,Opportunity 41,Qualifizierung,42523.93,76.3,2021-11-02,2021-09-13,Partner,Bestandskunde - Zusatzprodukt,423
OPP00000042,,ACC000997,Opportunity 42,Verhandlung,5528.18,26.5,2025-10-10,2025-04-18,Social Media,Bestandskunde - Upgrade,4727
OPP00000043,,ACC000099,Opportunity 43,Closed Lost,46781.55,0.0,2024-04-21,2024-02-05,Webseite,Bestandskunde - Upgrade,
OPP00000044,,ACC000911,Opportunity 44,Qualifizierung,22483.14,53.6,2024-03-25,2023-10-09,Webseite,Neukunde,6831
OPP00000045,,ACC000904,Opportunity 45,Angebot,29559.61,30.3,2023-08-04,2023-06-27,Messe,Bestandskunde - Zusatzprodukt,6733
OPP00000046,,ACC000378,Opportunity 46,Angebot,2224.28,49.5,2025-12-10,2025-06-28,Messe,Bestandskunde - Upgrade,2288
OPP00000047,47,ACC000433,Opportunity 47,Closed Won,20322.97,100.0,2023-01-11,2022-10-26,Empfehlung,Bestandskunde - Upgrade,2638
OPP00000048,48,ACC000981,Opportunity 48,Closed Won,45995.22,100.0,2021-06-25,2021-05-14,Empfehlung,Neukunde,3112
OPP00000049,,ACC000581,Opportunity 49,Angebot,47811.88,44.5,2023-03-14,2022-09-25,Partner,Bestandskunde - Zusatzprodukt,7627
OPP00000050,,ACC000094,Opportunity 50,Verhandlung,28545.15,33.9,2023-06-30,2023-01-12,Partner,Neukunde,
OPP00000051,,ACC000508,Opportunity 51,Verhandlung,16054.72,79.3,2024-03-31,2023-11-07,Webseite,Bestandskunde - Zusatzprodukt,6224
OPP00000052,,ACC000901,Opportunity 52,Angebot,22559.82,63.8,2023-04-24,2022-11-16,Messe,Bestandskunde - Upgrade,
OPP00000053,,ACC000637,Opportunity 53,Closed Lost,48369.31,0.0,2021-07-25,2021-03-13,Partner,Bestandskunde - Upgrade,1093
OPP00000054,54,ACC000929,Opportunity 54,Closed Won,30174.61,100.0,2021-12-31,2021-08-13,Messe,Bestandskunde - Zusatzprodukt,330
