transaction_id,date,account_key,department_key,vendor_key,product_key,customer_key,amount,approval_status,procurement_method,approver_id,approval_date,purchase_order_number,contract_reference
1,2024-04-27,2,37,5,12,24,174.98,Approved,Vertrag,85,2024-04-28,,VTR-2021-5511
2,2025-06-26,1,10,58,7,74,4899.71,Pending,Ausschreibung,,,PO-943344,VTR-2024-4987
3,2025-05-24,2,40,17,18,727,1725.8,Approved,Ausschreibung,296,2025-05-26,PO-207841,
4,2024-09-10,1,16,84,22,362,3406.59,Rejected,Direktvergabe,101,2024-09-12,PO-665955,VTR-2025-7728
5,2022-02-06,3,33,51,8,96,1364.97,Approved,Ausschreibung,166,2022-02-08,,VTR-2024-7205
6,2022-07-13,1,24,3,27,433,3357.01,Approved,Ausschreibung,22,2022-07-18,PO-666312,
7,2025-05-12,1,23,79,17,242,2779.06,Approved,Vertrag,4,2025-05-18,,
8,2024-03-20,1,36,44,14,658,2385.57,Approved,Direktvergabe,84,2024-03-26,PO-741007,
9,2025-05-21,2,20,89,17,587,1832.12,Approved,Vertrag,151,2025-05-24,PO-458082,VTR-2023-1904
10,2024-08-13,1,15,73,1,806,1565.51,Approved,Vertrag,293,2024-08-16,PO-340878,
11,2024-01-04,2,38,75,11,552,1748.24,Approved,Direktvergabe,297,2024-01-10,PO-977156,VTR-2025-8407
12,2024-04-04,1,25,86,12,261,4904.91,Approved,Direktvergabe,457,2024-04-06,PO-810848,VTR-2022-9905
13,2023-05-06,1,15,61,14,291,4093.19,Approved,Ausschreibung,254,2023-05-13,,
14,2024-11-11,1,28,38,15,256,1814.37,Approved,Vertrag,160,2024-11-12,PO-150793,VTR-2025-2757
15,2022-05-29,2,26,100,6,471,833.36,Approved,Vertrag,419,2022-05-30,PO-612139,VTR-2020-8939
16,2025-02-10,2,20,17,24,686,1984.37,Approved,Direktvergabe,419,2025-02-12,PO-299134,VTR-2020-3917
17,2023-06-15,1,40,55,11,618,4819.18,Approved,Ausschreibung,112,2023-06-17,PO-977626,VTR-2025-5561
18,2023-08-01,2,20,29,13,728,1060.83,Approved,Ausschreibung,234,2023-08-05,PO-314529,
19,2022-06-07,3,37,58,27,861,50.56,Approved,Vertrag,39,2022-06-13,,
20,2024-08-10,1,14,29,7,992,4596.38,Rejected,Direktvergabe,221,2024-08-11,PO-535330,VTR-2025-3718
21,2025-06-17,3,12,82,26,425,782.99,Approved,Vertrag,167,2025-06-19,PO-948381,VTR-2023-6996
22,2023-06-13,2,36,13,19,481,964.44,Approved,Vertrag,468,2023-06-15,PO-404206,VTR-2025-3842
23,2025-04-30,2,21,79,17,694,1228.23,Pending,Ausschreibung,,,PO-712890,VTR-2023-8837
24,2022-01-02,2,30,55,4,988,1166.48,Approved,Direktvergabe,209,2022-01-05,PO-722331,VTR-2022-1679
25,2025-06-26,3,12,6,20,555,625.56,Approved,Vertrag,11,2025-07-03,PO-558670,VTR-2020-1000
26,2024-08-10,2,19,79,20,508,759.24,Approved,Vertrag,80,2024-08-13,PO-213889,VTR-2025-4816
27,2025-03-13,1,26,62,20,934,717.99,Approved,Direktvergabe,217,2025-03-20,,
28,2022-12-21,2,12,54,20,191,1113.85,Approved,Ausschreibung,392,2022-12-28,PO-980413,
29,2024-11-01,3,35,56,8,36,62.6,Pending,Vertrag,,,,
30,2025-03-22,2,37,98,19,725,1971.58,Approved,Vertrag,189,2025-03-29,PO-604712,VTR-2020-1451
31,2022-06-21,2,37,42,13,638,643.64,Approved,Vertrag,296,2022-06-26,PO-834684,
32,2024-12-19,3,22,33,7,349,816.38,Approved,Vertrag,241,2024-12-21,PO-140395,VTR-2021-8441
33,2022-06-13,3,19,8,18,184,963.64,Approved,Direktvergabe,152,2022-06-20,PO-570904,
34,2024-05-17,2,17,89,17,67,1890.85,Approved,Vertrag,11,2024-05-21,PO-762588,
35,2025-06-03,2,31,27,19,688,378.77,Approved,Direktvergabe,19,2025-06-09,PO-252441,VTR-2021-6055
36,2022-12-09,1,20,96,12,135,3810.76,Approved,Ausschreibung,320,2022-12-15,PO-496332,VTR-2023-2602
37,2024-01-21,2,31,86,16,195,1973.02,Approved,Vertrag,4,2024-01-27,,VTR-2024-3158
38,2022-02-20,2,30,4,10,591,143.56,Approved,Direktvergabe,458,2022-02-26,PO-388322,VTR-2025-9880
39,2025-02-21,1,37,78,4,85,468.46,Approved,Direktvergabe,352,2025-02-22,PO-541054,VTR-2024-7593
40,2022-09-24,1,11,85,26,245,654.89,Approved,Vertrag,445,2022-09-27,PO-478760,VTR-2021-1019
41,2023-07-13,3,25,54,1,598,915.42,Approved,Direktvergabe,378,2023-07-16,PO-627671,
42,2023-06-25,1,28,46,22,81,1317.99,Approved,Direktvergabe,50,2023-06-28,,VTR-2020-6856
43,2022-10-09,2,18,17,23,508,686.95,Approved,Ausschreibung,124,2022-10-15,PO-463537,
44,2023-06-22,1,13,96,11,132,4696.37,Approved,Direktvergabe,210,2023-06-24,,
45,2023-04-02,2,14,38,16,764,58.54,Pending,Ausschreibung,,,,
46,2024-08-02,1,10,95,27,470,456.58,Approved,Vertrag,114,2024-08-07,PO-517073,VTR-2023-2436
47,2022-04-30,1,26,9,2,25,3341.67,Approved,Direktvergabe,346,2022-05-07,PO-590296,
48,2025-01-07,2,30,75,22,226,1250.87,Approved,Ausschreibung,20,2025-01-14,PO-256680,VTR-2022-7143
49,2024-02-23,1,17,30,2,754,3051.78,Approved,Vertrag,382,2024-03-01,PO-594978,VTR-2023-2199
50,2023-02-22,3,40,57,20,75,1832.17,Approved,Direktvergabe,24,2023-03-01,PO-369105,
51,2024-03-22,3,21,48,8,443,58.38,Approved,Vertrag,114,2024-03-26,PO-549012,VTR-2021-7259
52,2022-12-19,2,28,30,3,118,382.17,Approved,Ausschreibung,355,2022-12-25,PO-863641,
53,2023-05-31,2,36,14,12,636,1529.48,Approved,Ausschreibung,494,2023-06-03,PO-879241,
54,2022-12-17,1,11,71,4,3,3569.82,Pending,Direktvergabe,,,,
55,2022-02-04,2,13,74,12,588,301.71,Approved,Vertrag,39,2022-02-10,PO-865583,VTR-2021-9576
56,2022-07-29,2,25,39,1,758,1644.39,Approved,Direktvergabe,309,2022-08-02,PO-352392,VTR-2025-8491
57,2022-11-10,1,35,84,19,371,4553.81,Approved,Ausschreibung,413,2022-11-16,PO-521412,
58,2024-12-31,1,28,24,20,120,3418.92,Approved,Direktvergabe,397,2025-01-05,PO-773008,VTR-2022-4687
59,2022-03-21,1,34,65,9,755,319.44,Approved,Vertrag,312,2022-03-22,PO-385345,
60,2023-01-23,2,33,72,27,839,669.4,Approved,Vertrag,146,2023-01-29,PO-895648,VTR-2023-8097
61,2023-05-20,1,37,43,10,380,1970.0,Pending,Ausschreibung,,,PO-830196,
62,2023-04-05,2,38,94,11,173,1574.49,Approved,Direktvergabe,383,2023-04-11,,VTR-2022-2928
63,2025-01-30,2,31,77,23,243,1410.76,Approved,Vertrag,308,2025-02-01,,
64,2022-06-28,2,16,68,15,819,481.92,Approved,Direktvergabe,210,2022-07-05,PO-923395,
